nom pc;gm_esu;commentaires
L05-ORD00515;;
L05-ORD00516;;
L05-ORD00517;;
L05-ORD00518;;
L05-ORD00519;;
L05-ORD00520;;
L05-ORD00521;;
L05-ORD00522;;
L05-ORD00523;;
L05-ORD00524;;
L05-ORD00525;;
L05-ORD00526;;
L05-ORD00527;;
L05-ORD00528;;
L05-ORD00529;;
L05-ORD00530;;
L05-ORD00531;;
L05-ORD00532;;
L05-POR00001;;rebut
L05-POR00002;;rebut
L05-POR00003;;rebut
L05-POR00004;;rebut
L05-POR00005;;rebut
L05-POR00006;;rebut
L05-POR00007;;rebut
L05-POR00008;;ddfpt
L05-POR00009;;HS
L05-POR00010;;ddfpt
L05-POR00011;;s209
L05-POR00012;;
L05-POR00013;;
L05-POR00014;;
L05-POR00015;;
L05-POR00016;;
L05-POR00017;;
L05-POR00018;;ddfpt
L05-POR00019;;gestion
L05-POR00020;;
L05-POR00021;;
L05-POR00022;;
L05-POR00023;;prov_adj
L05-POR00024;;s209
L05-POR00025;;
L05-POR00026;;
L05-POR00027;;proviseur
L05-POR00028;;ddfpt
L05-POR00029;;magazin
L05-POR00030;;s209
L05-POR00031;;ddfpt
L05-POR00032;;ddfpt
L05-POR00033;;ddfpt
L05-POR00034;;ddfpt
L05-POR00035;;ddfpt
L05-POR00036;;s201
L05-POR00037;;ddfpt
L05-POR00038;;ddfpt
L05-POR00039;;HS
L05-POR00040;;ddfpt
L05-POR00041;;ddfpt
L05-POR00042;mobile;charriot1
L05-POR00043;mobile;charriot1
L05-POR00044;mobile;charriot1
L05-POR00045;mobile;charriot1
L05-POR00046;mobile;charriot1
L05-POR00047;mobile;charriot1
L05-POR00048;mobile;charriot1
L05-POR00049;mobile;charriot1
L05-POR00050;mobile;charriot1
L05-POR00051;mobile;charriot1
L05-POR00052;mobile;charriot1
L05-POR00053;mobile;charriot1
L05-POR00054;mobile;charriot1
L05-POR00055;mobile;charriot1
L05-POR00056;mobile;charriot1
L05-POR00057;mobile;charriot1
L05-POR00058;mobile;charriot2
L05-POR00059;mobile;charriot2
L05-POR00060;mobile;charriot2
